id,fold
d0244d6c38,0
a31e485287,1
ad2113ea1c,2
5aa0015d15,3
a3e0a0c779,4
b11110b854,0
6f79e6d54b,1
0b9981aba1,2
eab589e1f2,3
dc534f1e28,4
022b1b01be,0
bc3156b1e4,1
99909324ed,2
e82421363e,3
fcf61d1883,4
1c0b2ceb2f,0
d2e14828d5,1
4c36178b41,2
df5df272fb,3
d0e720b57b,4
44381a3f55,0
9a48617407,1
cc15d94784,2
d18a64f984,3
8ee20f502e,4
8c1d0929a2,0
b8c3ca0fab,1
51be9fc3d5,2
7ec839af45,3
3a7bbd73af,4
97515a958d,0
4ad8a63538,1
06d21d76c4,2
ec542d0719,3
da5ab3d506,4
367c6fb412,0
fff2abcaf9,1
e1921d9a0d,2
f2c869e655,3
6738d474a3,4
b749a000ea,0
b7b83447c4,1
7c2609c66c,2
f8ba90c991,3
05b69f83bf,4
ddd0be8fd5,0
46c1a0e9a3,1
c1c6a1ebad,2
c5745e04ff,3
b85046c5c1,4
a37249665e,0
16017c8e02,1
ff8bf1417c,2
2b39f9a88f,3
fcb49356a5,4
135ae076e9,0
7053b28de2,1
0b45bde756,2
f121c06f1f,3
0d8ed16206,4
4bb8260218,0
80a458a2b6,1
fa9da6a455,2
b1be1fa682,3
6545c6235b,4
5fe599e1a5,0
769d51b80b,1
ac6289352d,2
a56e87840f,3
c4911615e1,4
b1ac5ed0b3,0
5cb2496125,1
77ecd76754,2
3ff3881428,3
fbd61072f4,4
2d7a83381c,0
cbd42ee63f,1
7ebd3f0cdd,2
dd9a94a797,3
ebd623bfc6,4
9737133eff,0
8ad8b9b163,1
4985566e7d,2
2eea9d51a4,3
0f9977b1dd,4
7b2032d7d1,0
24a38972a3,1
b2d7897c35,2
d84e52cb6e,3
8c9b19f267,4
393048bc6c,0
d538594e14,1
b6f907680a,2
83c0564224,3
4d03329aa4,4
95a87f8ad9,0
a5d2da8488,1
62e608259a,2
58789490d6,3
4eccb0cb9d,4
aff8ae9d4d,0
9ccf50ab0e,1
4864559ba5,2
6c25735f24,3
eed6c66da4,4
0ddcd3fd1a,0
f7d4d6fb0d,1
808cbefd71,2
6c61beb5dd,3
b9bf0422a6,4
cb0d3e8399,0
9b5bed5c6f,1
762f01c185,2
a2530b4c45,3
d4d34af4f7,4
66fed16154,0
1f73caa937,1
74d1d03fc3,2
e82b7a2abb,3
62d6a9b673,4
bedb558d15,0
b2fbaf80d5,1
f2f67e14a6,2
50b3aef4c4,3
b6aa5c7ab4,4
