id,fold
000e218f21,4
003c477d7c,1
00441f1cf2,1
0050766ae2,0
005b452274,2
0061281eea,0
008a50a2ec,4
00950d1627,3
00a3af90ab,2
00cda0328c,4
0108518d1e,4
010ee525b6,4
0115703825,3
01323211a0,1
016fc8031c,4
019afb4b4e,4
01b5362cce,3
01c033e116,1
01c2045d03,3
020376e68e,3
020678ec1b,1
02117a400e,4
021494f3aa,1
02206b234e,4
022b1b01be,2
023d486fba,2
0243477802,2
0249c49180,1
026b509cd4,3
026f97575b,4
0280db420c,4
0280deb8ae,4
029c321179,1
02adf272e9,2
02d40993ab,1
03049b14ca,3
0304e9ac37,1
03511989ac,4
0389fc6012,2
03a9a9f615,1
03be56aa9a,1
03c9b5ffe8,1
03eed26d3e,4
0401ae15d3,4
04182ced8e,1
041925f04c,3
04234be388,4
0429d9759b,3
042c3d4e03,2
04315b9a64,0
044106f759,1
045c5516a2,3
0461a2fb30,0
04711cb760,4
0473e496e2,0
0497f2d447,3
04c48c9743,0
04cd9599a3,4
04e7e791e2,2
04f7a73f2b,3
05139ad3e5,3
052de39787,1
0530b67189,2
0532916483,0
053a6f6704,2
0558ee87d3,1
055ec918b9,4
056bfa0cc8,2
057eae4f34,0
0589f557d7,4
05a61e5799,0
05b69f83bf,4
05be526826,0
05be75afd9,2
05c33e6854,4
05c7033694,4
05d9351a35,2
05f09b380c,0
060cdfded5,1
060f14fcee,3
06289f69f8,0
063cf2a23a,0
0642bbbc5f,0
06523f9719,4
065ce5590e,2
066e0ce4c3,1
069035a9b5,1
06a361fc57,2
06c2c49688,4
06d21d76c4,2
06d3201dd0,3
071c81c9ad,2
071d5aa17f,0
074673a5f1,1
0762a99eb4,3
077cb8696f,1
078f36a006,3
07a81dccdc,1
07ac7e530f,3
07bb074759,0
07cbc65347,4
07e08eee37,2
07fef26d18,0
08173ef66c,0
0822e176b2,4
0829b44678,3
082d2910a8,2
0841984941,3
084d3ed9c8,0
085e7a048e,2
08640ede7a,0
086deb3ccb,0
087192e2ec,2
088a402727,2
0898e36ee6,1
08993551ae,3
08bafa2eee,4
08c2070b20,1
08dc3c9a23,4
08f3346b8a,3
09152018c4,3
0923f7bef9,2
0926b7396b,3
0937b1df3f,2
0951f85203,2
09541ce79b,3
0977568b54,1
098c5f3e75,3
09b7182dc5,4
09b9330300,2
09e29fbb74,4
09ee5831f4,3
09f0f1f414,4
0a0814464f,1
0a1742c740,1
0a18b314fc,3
0a19821a16,0
0a31d7553c,4
0a41de5e3b,4
0a7e067255,1
0aab0afa9c,2
0aabdb423e,1
0ab5e14937,1
0ad0876244,0
0ad38c8f25,3
0adb490de5,4
0ae08cc1b2,1
0aea45ba8f,1
0b176124c4,1
0b45bde756,4
0b73b427d1,1
0b7459a0af,1
0b7b00ebfd,3
0b9981aba1,0
0b9cb1205a,1
0ba541766e,2
0bca43f7ff,1
0bdd44d530,3
0be923c49b,4
0bed5f2ace,3
0c02f95a08,1
0c089f7c1b,1
0c0f001366,0
0c19639aeb,3
0c376f6728,4
0c600207b1,4
0c62dfc234,4
0c62ed4494,3
0c6ec35477,3
0cc1d0e4c4,1
0cc3c31d1a,2
0cc5805a92,4
0ce329b5f9,0
0ce8a6ae62,2
0cf7155eb6,2
0cf9c803b8,3
0d19f89dc9,3
0d3b5ec2a8,0
0d8ed16206,2
0d9adabb2c,3
0db1b4c199,3
0dcf4a11a6,0
0ddcd3fd1a,3
0deadce8f1,4
0df375dc9c,0
0df53ae04c,4
0df9f16bc9,0
0e16439e05,0
0e53e6294a,1
0e63d9a8b4,0
0ea5ea6946,0
0eacc93ff3,3
0eb52aa52a,1
0ebe3ee1ad,2
0ec68b2e42,0
0ece337a15,0
0ee8a744eb,1
0f02cec809,3
0f19680b4d,3
0f20f0242c,2
0f3118527c,4
0f4637e4b7,3
0f5ada4dc3,4
0f613bd191,4
0f6e788cdd,2
0f762f2746,0
0f7aa746d6,0
0f9977b1dd,3
0f9b1dbc3f,4
0f9beb1453,3
0faaf196b4,3
0fb7b2772a,4
0fc5ad7e3b,0
0fcbd0567b,2
0fd38464c3,3
0fea4b5049,3
0ff9f243e5,1
1017084680,0
1019e6ed47,2
103713e20d,0
1037da2ff7,3
104ce199d8,2
106a222c7c,4
106e4043ba,3
1075fa3200,3
107f1047c1,1
10833853b3,2
109bccf6c6,2
10a1a5b78f,2
10aa115164,1
10b19bd1f8,3
10e1c8e23a,0
10e835f9ab,0
10ecfda568,3
10f24c23af,0
10f3d01ddb,3
113b017a91,0
114397189f,4
114d62da56,4
114daa1bed,3
11518835a4,0
115ee54da8,0
1167a2bec9,1
1169f5b1fb,0
116bd22fd0,1
11a14b9fcd,2
11a54f2eff,4
11bfb46a23,2
1263576548,0
1267729ffd,4
1268fbf8c2,2
126f253739,4
1277f1a611,1
127ef4105f,2
128f3b0e36,4
12a953a079,1
12bf4f2d3b,0
12c92c9f70,3
12d09b9fa4,4
12e859e91d,0
12e94a5a08,1
130229ec15,0
13037dfbb2,4
1306fcee4c,4
1313dbf1d7,2
131ca4b83d,3
13209940d7,0
132e30cffd,2
13483cd62a,4
135ae076e9,4
136af05158,0
1379940546,0
13adf02399,4
13f3daf89f,3
13f448be07,2
13fb17bf13,0
1401f04c4b,2
1414606ab4,3
14152a6731,2
1435d5602c,3
1439570aec,3
143eefe05a,1
1463aee5b3,3
146ec37657,2
1495558064,1
14a89a1840,4
14bba6af57,1
14c16f99d5,3
14c6a2d399,3
14da113475,4
14dcf18fb6,1
1544a0e952,3
154948ae6d,2
155bcd4b4d,0
157b2aa3e0,1
158765ed16,0
15d079a8e8,3
15d76f1672,3
16017c8e02,3
16207869ba,0
1621c14879,2
1623de321c,4
164873b51f,4
16589f0702,2
1664b6a6d5,1
168f625d62,0
16a9609841,3
16b2119ffa,4
16bee00afc,1
16cebad726,3
16e308dbc3,2
17113fd0bd,0
1724889841,1
1739b1634d,1
173dd2f369,3
174b478747,4
174ebb49df,0
1751290ca2,3
176ad39bc7,1
1770691c51,0
178bd2185d,1
178d777950,1
1790f3520c,2
17972a6517,3
17a6639049,2
17a8b7e7f3,4
17bb0d4b3e,2
17be1887b9,2
17c5d2464c,0
17c6355815,2
17d70fee5c,1
17dd87aefa,3
17dde2138e,1
17e67f9ce4,4
1804a4c064,1
1804b11f9a,4
180d2ec2cc,2
180f0a1854,2
1821c518da,2
1825fadf99,0
182bfc6862,4
182ea1798b,3
184356736e,3
18449e54f8,4
185172060e,0
18590f686a,1
186d861771,0
186edd93a3,4
18ac660fbb,0
