id,fold
000e218f21,0
003c477d7c,1
00441f1cf2,2
0050766ae2,0
005b452274,4
0061281eea,0
008a50a2ec,1
00950d1627,1
00a3af90ab,1
00cda0328c,3
0108518d1e,4
010ee525b6,1
0115703825,1
01323211a0,3
016fc8031c,3
019afb4b4e,2
01b5362cce,0
01c033e116,1
01c2045d03,4
020376e68e,1
020678ec1b,2
02117a400e,4
021494f3aa,0
02206b234e,3
022b1b01be,0
023d486fba,0
0243477802,2
0249c49180,3
026b509cd4,1
026f97575b,0
0280db420c,4
0280deb8ae,1
029c321179,3
02adf272e9,4
02d40993ab,3
03049b14ca,4
0304e9ac37,4
03511989ac,3
0389fc6012,1
03a9a9f615,0
03be56aa9a,2
03c9b5ffe8,1
03eed26d3e,2
0401ae15d3,0
04182ced8e,3
041925f04c,1
04234be388,2
0429d9759b,4
042c3d4e03,4
04315b9a64,3
044106f759,0
045c5516a2,2
0461a2fb30,4
04711cb760,2
0473e496e2,2
0497f2d447,4
04c48c9743,0
04cd9599a3,1
04e7e791e2,4
04f7a73f2b,1
05139ad3e5,4
052de39787,4
0530b67189,3
0532916483,4
053a6f6704,2
0558ee87d3,2
055ec918b9,2
056bfa0cc8,0
057eae4f34,3
0589f557d7,4
05a61e5799,1
05b69f83bf,3
05be526826,3
05be75afd9,3
05c33e6854,4
05c7033694,3
05d9351a35,1
05f09b380c,4
060cdfded5,3
060f14fcee,2
06289f69f8,3
063cf2a23a,3
0642bbbc5f,2
06523f9719,2
065ce5590e,4
066e0ce4c3,3
069035a9b5,4
06a361fc57,0
06c2c49688,4
06d21d76c4,2
06d3201dd0,4
071c81c9ad,4
071d5aa17f,1
074673a5f1,2
0762a99eb4,2
077cb8696f,1
078f36a006,0
07a81dccdc,1
07ac7e530f,2
07bb074759,2
07cbc65347,3
07e08eee37,0
07fef26d18,0
08173ef66c,1
0822e176b2,2
0829b44678,4
082d2910a8,3
0841984941,4
084d3ed9c8,2
085e7a048e,0
08640ede7a,1
086deb3ccb,2
087192e2ec,4
088a402727,1
0898e36ee6,2
08993551ae,4
08bafa2eee,1
08c2070b20,4
08dc3c9a23,0
08f3346b8a,1
09152018c4,1
0923f7bef9,4
0926b7396b,1
0937b1df3f,1
0951f85203,1
09541ce79b,4
0977568b54,4
098c5f3e75,2
09b7182dc5,3
09b9330300,0
09e29fbb74,4
09ee5831f4,0
09f0f1f414,0
0a0814464f,0
0a1742c740,1
0a18b314fc,0
0a19821a16,3
0a31d7553c,2
0a41de5e3b,4
0a7e067255,2
0aab0afa9c,1
0aabdb423e,4
0ab5e14937,4
0ad0876244,2
0ad38c8f25,2
0adb490de5,0
0ae08cc1b2,4
0aea45ba8f,3
0b176124c4,4
0b45bde756,4
0b73b427d1,3
0b7459a0af,3
0b7b00ebfd,0
0b9981aba1,1
0b9cb1205a,3
0ba541766e,3
0bca43f7ff,4
0bdd44d530,2
0be923c49b,3
0bed5f2ace,2
0c02f95a08,0
0c089f7c1b,2
0c0f001366,3
0c19639aeb,4
0c376f6728,2
0c600207b1,4
0c62dfc234,0
0c62ed4494,2
0c6ec35477,4
0cc1d0e4c4,2
0cc3c31d1a,2
0cc5805a92,0
0ce329b5f9,4
0ce8a6ae62,1
0cf7155eb6,3
0cf9c803b8,3
0d19f89dc9,3
0d3b5ec2a8,3
0d8ed16206,3
0d9adabb2c,0
0db1b4c199,2
0dcf4a11a6,1
0ddcd3fd1a,2
0deadce8f1,4
0df375dc9c,2
