id,fold
000e218f21,0
003c477d7c,1
00441f1cf2,2
0050766ae2,4
005b452274,0
0061281eea,3
008a50a2ec,1
00950d1627,0
00a3af90ab,4
00cda0328c,3
0108518d1e,4
010ee525b6,2
0115703825,0
01323211a0,4
016fc8031c,2
019afb4b4e,2
01b5362cce,3
01c033e116,0
01c2045d03,4
020376e68e,1
020678ec1b,2
02117a400e,3
021494f3aa,0
02206b234e,1
022b1b01be,3
023d486fba,4
0243477802,3
0249c49180,0
026b509cd4,4
026f97575b,3
0280db420c,1
0280deb8ae,1
029c321179,0
02adf272e9,2
02d40993ab,0
03049b14ca,2
0304e9ac37,2
03511989ac,4
0389fc6012,0
03a9a9f615,2
03be56aa9a,4
03c9b5ffe8,0
03eed26d3e,3
0401ae15d3,0
04182ced8e,1
041925f04c,3
04234be388,1
0429d9759b,3
042c3d4e03,2
04315b9a64,4
044106f759,2
045c5516a2,4
0461a2fb30,0
04711cb760,2
0473e496e2,0
0497f2d447,4
04c48c9743,4
04cd9599a3,2
04e7e791e2,2
04f7a73f2b,4
05139ad3e5,4
052de39787,3
0530b67189,1
0532916483,1
053a6f6704,0
0558ee87d3,3
055ec918b9,4
056bfa0cc8,2
057eae4f34,0
0589f557d7,0
05a61e5799,2
05b69f83bf,3
05be526826,1
05be75afd9,0
05c33e6854,4
05c7033694,0
05d9351a35,0
05f09b380c,4
060cdfded5,3
060f14fcee,4
06289f69f8,0
063cf2a23a,1
0642bbbc5f,3
06523f9719,1
065ce5590e,0
066e0ce4c3,3
069035a9b5,4
06a361fc57,1
06c2c49688,2
06d21d76c4,3
06d3201dd0,3
071c81c9ad,0
071d5aa17f,4
074673a5f1,4
0762a99eb4,0
077cb8696f,1
078f36a006,1
07a81dccdc,0
07ac7e530f,2
07bb074759,3
07cbc65347,0
07e08eee37,2
07fef26d18,3
08173ef66c,2
0822e176b2,1
0829b44678,0
082d2910a8,0
0841984941,4
084d3ed9c8,3
085e7a048e,1
08640ede7a,4
086deb3ccb,0
087192e2ec,2
088a402727,4
0898e36ee6,0
08993551ae,4
08bafa2eee,2
08c2070b20,3
08dc3c9a23,4
08f3346b8a,0
09152018c4,1
0923f7bef9,2
0926b7396b,1
0937b1df3f,3
0951f85203,4
09541ce79b,4
0977568b54,2
098c5f3e75,0
09b7182dc5,1
09b9330300,4
09e29fbb74,2
09ee5831f4,4
09f0f1f414,3
0a0814464f,2
0a1742c740,1
0a18b314fc,3
0a19821a16,4
0a31d7553c,0
0a41de5e3b,2
0a7e067255,1
0aab0afa9c,0
0aabdb423e,4
0ab5e14937,0
0ad0876244,3
0ad38c8f25,3
0adb490de5,1
0ae08cc1b2,3
0aea45ba8f,2
0b176124c4,1
0b45bde756,0
0b73b427d1,2
0b7459a0af,2
0b7b00ebfd,3
0b9981aba1,4
0b9cb1205a,3
0ba541766e,4
0bca43f7ff,4
0bdd44d530,2
0be923c49b,2
0bed5f2ace,3
0c02f95a08,4
0c089f7c1b,0
0c0f001366,4
0c19639aeb,0
0c376f6728,3
0c600207b1,0
0c62dfc234,4
0c62ed4494,1
0c6ec35477,4
0cc1d0e4c4,2
0cc3c31d1a,2
0cc5805a92,0
0ce329b5f9,2
0ce8a6ae62,1
0cf7155eb6,0
0cf9c803b8,4
0d19f89dc9,3
0d3b5ec2a8,2
0d8ed16206,1
0d9adabb2c,0
0db1b4c199,1
0dcf4a11a6,1
0ddcd3fd1a,2
0deadce8f1,1
0df375dc9c,4
